City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Sao Felix Do Xingu,BR,2021-05-30 23:12:51,-6.6447,-51.995,74.39,72,28,3.47
1,Busselton,AU,2021-05-30 23:12:52,-33.65,115.3333,51.08,67,92,13.31
2,Chuy,UY,2021-05-30 23:12:52,-33.6971,-53.4616,44.76,72,4,6.82
3,Esperance,AU,2021-05-30 23:11:06,-33.8667,121.9,55.24,84,86,26.73
4,Cayenne,GF,2021-05-30 23:12:53,4.9333,-52.3333,80.1,86,90,1.99
5,Hermanus,ZA,2021-05-30 23:12:53,-34.4187,19.2345,54.9,74,98,6.08
6,Salalah,OM,2021-05-30 23:12:54,17.0151,54.0924,82.49,89,40,4.61
7,Karaton,ID,2021-05-30 23:12:54,-6.3424,106.1045,78.96,94,59,1.01
8,Cidreira,BR,2021-05-30 23:11:13,-30.1811,-50.2056,51.03,56,23,6.91
9,Rikitea,PF,2021-05-30 23:12:55,-23.1203,-134.9692,75.2,68,94,12.06
10,Bluff,NZ,2021-05-30 23:12:55,-46.6,168.3333,49.8,90,100,21.88
11,Troitskoye,RU,2021-05-30 23:12:56,52.9821,84.6757,51.6,70,15,4.18
12,Hithadhoo,MV,2021-05-30 23:12:56,-0.6,73.0833,83.52,72,15,18.66
13,Kristinehamn,SE,2021-05-30 23:12:57,59.3098,14.1081,57.76,77,21,4.38
14,Stephenville Crossing,CA,2021-05-30 23:12:57,48.5,-58.4318,48.22,78,100,2.59
15,Altamont,US,2021-05-30 23:12:58,42.2068,-121.7372,83.39,14,1,9.22
16,Butaritari,KI,2021-05-30 23:12:58,3.0707,172.7902,83.17,77,80,13.73
17,San Vicente,AR,2021-05-30 23:12:59,-26.6167,-54.1333,47.55,61,0,4.0
18,Ushuaia,AR,2021-05-30 23:12:59,-54.8,-68.3,28.06,100,75,8.05
19,Udachnyy,RU,2021-05-30 23:13:00,66.4167,112.4,58.06,35,13,6.33
20,Hobart,AU,2021-05-30 23:08:42,-42.8794,147.3294,43.11,90,40,4.32
21,Bardiyah,LY,2021-05-30 23:13:00,31.7561,25.0865,69.33,80,0,12.88
22,Mitsamiouli,KM,2021-05-30 23:13:01,-11.3847,43.2844,78.42,78,7,10.02
23,Punta Arenas,CL,2021-05-30 23:13:01,-53.15,-70.9167,33.91,69,75,7.18
24,Severo-Kurilsk,RU,2021-05-30 23:13:02,50.6789,156.125,38.98,97,100,21.07
25,Mataura,NZ,2021-05-30 23:13:02,-46.1927,168.8643,49.48,98,100,3.47
26,Atuona,PF,2021-05-30 23:13:03,-9.8,-139.0333,79.54,64,6,8.86
27,Saskylakh,RU,2021-05-30 23:13:03,71.9167,114.0833,38.32,82,63,3.38
